id,name,description
346,دینی و مذهبی,موضوعات مربوط به دین و مذهب در این دسته از آثار، نقشی اساسی دارند و در کانون توجه نویسنده قرار دارند. نقد و تفسیر دیدگاه های مختلف دینی نیز در این کتاب ها به چشم می خورند.
327,روانشناسی,کتاب های روانشناسی به علم رفتار، تفکر و ذهن (بخش های خودآگاه و ناخودآگاه) می پردازند. هدف کلی این حوزه از دانش، به عنوان یک رشته ی دانشگاهی بسیار گسترده با گرایش هایی متنوع و مختلف، درک ویژگی های مغز، چگونگی کارکرد ذهن در شرایط مختلف و هر گونه واکنش ذهنی قابل بررسی است.
182,رمان,رمان یا داستان بلند، متنی روایتگر و داستانی است که در قالب نثر نوشته می شود. در قرن هجدهم کلمهٔ «رمان» بیشتر برای اشاره به قصّه های کوتاه در مورد عشق و توطئه به کار می رفت. در ۲۰۰ سال اخیر، رمان تبدیل به یکی از مهم ترین اشکال ادبی شده و سهم بسیار بزرگی از دنیای کتاب را به خود اختصاص داده است.
103,ادبیات داستانی,ادبیات داستانی، گونه ای پرطرفدار از ادبیات است که به مسائلی چون مشکلات اجتماعی، سیاسی و فرهنگی و وضعیت زندگی بشر می پردازد. نویسندگان ادبیات داستانی بر بررسی عمیق و باطنی کاراکترهای جذاب، چندوجهی و قابل باوری تمرکز دارند که داستان های درونی و ذهنیشان، پیشبرنده ی اتفاقات داستان اصلی است.
101,داستان تاریخی,داستان تاریخی نوعی از نگارش است که مرز میان تاریخ و ادبیات به شمار می رود. در این گونه کتاب ها معمولا از هیچ منبعی یاد نشده و یا از منابع کمی یاد می شود. در رمان تاریخی، دروغ یا حقیقت داشتن مطلب مهم نیست بلکه نوع نوشتار اهمیت دارد و اثر از نظر ادبی مورد ارزیابی قرار می گیرد. عنصر کلیدی در داستان های تاریخی این است که روایت کلی در گذشته جریان دارد و به مسائلی چون اخلاقیات، وضعیت اجتماعی و جزئیات دیگر یک دوره ی زمانی خاص در گذشته می پردازد. این گونه از ادبیات دارای زیر-ژانرهایی چون تاریخ متناوب (یا تاریخ بدیل) و داستان فانتزی تاریخی است.
142,ادبیات اسپانیا,ادبیات اسپانیا، شخصیت هایی چون دون کیشوت و دون خوان را به جهان معرفی کرده است. اختراع رمان در قرن شانزدهم، به ادبیات اسپانیا منسوب می شود. تاریخ پرفراز و نشیب و کهن این کشور، باعث به وجود آمدن گنجینه ای از آثار ارزشمند ادبی شده است.
335,تجارت و کسب و کار,کتاب های مربوط به حوزه ی تجارت، موضوعاتی چون چگونگی کارکرد عوامل تجاری، رویکردهای موفق کسب و کار، روش های مختلف کارآفرینی و سایر جنبه های تئوری و عملی دنیای تجارت را مورد بررسی و کنکاش قرار می دهند.
176,دهه 1920 میلادی,دهه ی 1920 میلادی، دوره ی پرفراز و نشیبی بود و تغییرات بزرگ متعددی در این دهه به وقوع پیوست. مدرنیسم، تقریبا بر همه ی جنبه های هنر، ادبیات و فرهنگ عامه ی مردم در این زمان تأثیر گذاشت و بهترین نامی که برای توصیف جنبش های ادبی و فرهنگی این دهه می توان انتخاب کرد، «تجربی» خواندن آن هاست. فیتزجرالد و همینگوی، محبوب ترین نویسندگان این دهه به حساب می آمدند.
170,دهه 1980 میلادی,نویسندگان در دهه ی 1980 میلادی، واکنش خود نسبت به تغییرات فرهنگی را در آثارشان به عموم نشان دادند. رویدادها و ویژگی های شاخص این دوره، مصرف گرایی، جنگ های فالک لند، رشد شرکت های خصوصی و بحران ایدز بود و نویسندگان ،علاوه بر پرداختن به این مسائل، سوالاتی درباره ی جنسیت، طبقه ی اجتماعی، نژاد و هویت ملی مطرح می کردند.
347,نمایشنامه درام,نمایشنامه هایی که در این دسته قرار می گیرند، به طور معمول ساختاری واقع گرایانه دارند و داستان آن ها، به چگونگی مواجهه ی شخصیت های مختلف با مشکلات درونی و بیرونی شان می پردازد.
354,نمایشنامه تاریخی,نمایشنامه های تاریخی، داستان خود را در بستر واقعه یا برهه ای تاریخی روایت می کنند و علاوه بر نقل اتفاقات داستانی، مخاطب خود را با بخشی مشخص از تاریخ آشنا می کنند.
167,دهه 2010 میلادی,دهه ای که بیش از هر وقت دیگری، پیشرفت های تکنولوژی و بالا رفتن روزافزون سرعت زندگی در آن به چشم می خورد. آثار ادبی این دهه به مسائلی چون فشارهای زندگی مدرن، گمگشتگی بشر در دنیای فناوری و بازگشت به عرفان ها و جهان بینی های گذشته برای کسب آرامش بیشتر می پردازند.
309,دهه 1780 میلادی,جنگ های انقلابی آمریکا، پیشرفت و گسترش انقلاب صنعتی و انتخاب دلار به عنوان واحد پول رسمی ایالات متحده را می توان جزء مهمترین رویدادهای دهه ی 1780 میلادی برشمرد که تأثیر زیادی بر فرهنگ و زندگی جوامع وقت داشت.
133,زندگی نامه,زندگی نامه یا سرگذشت نامه یا بیوگرافی سبکی در ادبیات است که مربوط می شود به شرح و توصیف رخدادها و روند زندگی یک یا چند نفر. بیشتر زندگینامه ها بر پایه یادداشت های شخصی افراد ترتیب داده می شوند و داستان هایی واقعی هستند و نه تخیلی. یک زندگی نامه به فهرست کردن اطلاعات در مورد یک شخص مانند زادگاه و زادروز و تاریخ رخدادها محدود نمی شود و به توضیح و گاه تحلیل رویدادها می پردازد.
561,مصاحبه,چیزی بهتر از صحبت های خود نویسنده یا هنرمند، نمی تواند از جنبه های مختلف شخصیتی و فکری او پرده بردارد. کتاب های موجود در این طبقه بندی، آثری هستند که از مصاحبه ها و گفت و گوهای نویسندگان شناخته شده و چهره های ادبی برجسته به وجود آمده اند و مخاطبین را با وجوهی جذاب از زندگی هنرمندان مورد علاقه ی خود آشنا می کنند.
147,ادبیات آلمان,نویسندگان آلمانی، از لوتر و گوته گرفته تا برشت و گونتر گراس، تأثیر عمیقی بر دنیای مدرن داشته اند. بسیاری از شاهکارهای ادبی آلمان به طور ویژه به مسائل اقتصادی و دینی پرداخته اند و می توان این آثار را واکنشی به تغییرات اجتماعی و سیاسی در گذشته ای اغلب خشونت بار و تراژیک ارزیابی کرد. اتفاقات جنگ جهانی دوم بر ادبیات غنی این کشور تأثیر زیادی گذاشت و نویسندگان آلمانی، داستان ها و تحلیل هایی جاودان از این رویدادها خلق کرده اند.
285,ادبیات نمایشی,ادبیات نمایشی، گونه ای از ادبیات است که برای اجرا در صحنهٔ تئاتر یا مکان های دیگر تنظیم و نوشته شده باشد و نمایشنامه، فیلمنامه و تعزیه نامه و امثال این ها را در بر می گیرد. گونه های مختلف ادبیات نمایشی تقریبا در همه ی جوامع ابتدایی و یا پیشرفته به چشم می خورند و در طول تاریخ، تأثیر شگرفی بر روند تکامل جوامع داشته اند.
337,هنری,کتاب های هنری عمدتا به شرح چگونگی خلق آثار دیداری، شنیداری، نمایشی و سایر قالب های هنری، توضیح جنبه های مختلف یک اثر هنری، زندگی هنرمندان بزرگ و تأثیرگذار تاریخ، نقد هنری، مطالعه ی تاریخ هنر، بررسی جنبه های زیبای شناسانه ی آثار هنری و دیگر حوزه های مربوط به هنر می پردازند.
680,نقد هنری,نقد هنری نقدی است که به بحث و ارزیابی در آثار هنر بصری می پردازد.منتقدان هنر معمولا آثار هنری را از جنبه های زیبایی شناسی یا تئوری زیبایی مورد نقد و بررسی قرار می دهند. یکی از اهداف نقد هنری دستیابی به مبنای عقلانی برای درک هنر است.انواع جنبش های هنری منجر به تقسیم نقد هنری به رویکردهای مختلفی گردیده، که هر کدام با استفاده از معیارهای مختلف خودشان به قضاوت بر روی آثار هنری می پردازند. رایج ترین این تقسیم بندی ها در حوزهٔ نقد، تقسیم آن به نقد و ارزیابی تاریخی (شکلی از تاریخ هنر) و نقد معاصر از کار توسط هنرمندان زنده است.
299,داستان عرفانی,داستان عرفانی، گونه ای از ادبیات است که موضوعاتی ذهنی و روحانی و تفکراتی چون گسترش آگاهی، معنویت، عرفان و فراروانشناسی را دست مایه ی پیشبرد داستان خود قرار می دهد. این ژانر گاها زیرمجموعه ی ژانر «داستان های گمانه زن» تلقی می شود.
105,ادبیات معاصر,تقریبا در اغلب زبان های زنده ی دنیا، مفهوم معاصر مبهم است، به خصوص وقتی که این واژه برای توصیف ادب و هنر به کار می رود. از یک منظر، قرن بیستم، و از منظری دیگر، زمان بعد از جنــگ جهانی دوم دوران معاصر به حساب می آید. عده ای نیز، از سال 1975 به بعد، یعنی بعد از پست مدرنیســم، را معاصر می دانند.ادبیات معاصر به دلیل نزدیکی بیشتر با زندگی مخاطبین امروزی، از اصلی ترین دسته بندی های ادبیات به شمار می آید.
