id,name,description
437,ادبیات ایران,
527,فیلمنامه,
630,سینما و تئاتر,
1114,صوتی و تصویری,
1138,موسیقی,
1164,موسیقی سنتی و محلی,
167,دهه 2010 میلادی,دهه ای که بیش از هر وقت دیگری، پیشرفت های تکنولوژی و بالا رفتن روزافزون سرعت زندگی در آن به چشم می خورد. آثار ادبی این دهه به مسائلی چون فشارهای زندگی مدرن، گمگشتگی بشر در دنیای فناوری و بازگشت به عرفان ها و جهان بینی های گذشته برای کسب آرامش بیشتر می پردازند.
335,تجارت و کسب و کار,کتاب های مربوط به حوزه ی تجارت، موضوعاتی چون چگونگی کارکرد عوامل تجاری، رویکردهای موفق کسب و کار، روش های مختلف کارآفرینی و سایر جنبه های تئوری و عملی دنیای تجارت را مورد بررسی و کنکاش قرار می دهند.
680,نقد هنری,نقد هنری نقدی است که به بحث و ارزیابی در آثار هنر بصری می پردازد.منتقدان هنر معمولا آثار هنری را از جنبه های زیبایی شناسی یا تئوری زیبایی مورد نقد و بررسی قرار می دهند. یکی از اهداف نقد هنری دستیابی به مبنای عقلانی برای درک هنر است.انواع جنبش های هنری منجر به تقسیم نقد هنری به رویکردهای مختلفی گردیده، که هر کدام با استفاده از معیارهای مختلف خودشان به قضاوت بر روی آثار هنری می پردازند. رایج ترین این تقسیم بندی ها در حوزهٔ نقد، تقسیم آن به نقد و ارزیابی تاریخی (شکلی از تاریخ هنر) و نقد معاصر از کار توسط هنرمندان زنده است.
870,پژوهشی,
19,ادبیات کانادا,قبل از ورود اروپایی ها به کانادا، تاریخ، فرهنگ، هویت، زبان، هنر و ادبیات مردم بومی آمریکای شمالی بر این منطقه حاکم بود و بعد از شکل گیری کشوری جدید در این سرزمین، فرهنگی نو وارد کانادا شد. گوناگونی فرهنگی ونژادی کانادا، در آثار ادبی نویسندگان این کشور به خوبی بازتاب داده شده و موضوع دوگانگی هویت، همیشه مورد توجه هنرمندان برجسته ی این کشور بوده است.
105,ادبیات معاصر,تقریبا در اغلب زبان های زنده ی دنیا، مفهوم معاصر مبهم است، به خصوص وقتی که این واژه برای توصیف ادب و هنر به کار می رود. از یک منظر، قرن بیستم، و از منظری دیگر، زمان بعد از جنــگ جهانی دوم دوران معاصر به حساب می آید. عده ای نیز، از سال 1975 به بعد، یعنی بعد از پست مدرنیســم، را معاصر می دانند.ادبیات معاصر به دلیل نزدیکی بیشتر با زندگی مخاطبین امروزی، از اصلی ترین دسته بندی های ادبیات به شمار می آید.
291,فلسفی,آثار فلسفی به مطالعه ی مشکلات و مسائل بنیادین مربوط به موضوعاتی چون هستی، دانش، ارزش ها، منطق، ذهن و زبان می پردازند. علاوه بر این، پژوهش های مرتبط با هنر، علم، سیاست و سایر حوزه ها نیز بخشی از فلسفه به حساب می آیند. انتخاب یک کتاب خوب برای مطالعه، مخصوصا یک کتاب فلسفی، همیشه می تواند برای خواننده سخت باشد. تعداد فیلسوفان و کتاب های فلسفی بسیار زیاد است و اگر کسی بدون شناخت کافی، صرفا بخواهد کتابی در این زمینه مطالعه کند بدون شک در انتخاب خود دچار تردید خواهد شد.در این بخش از سایت سعی کرده این بهترین کتاب های فلسفی را برای شما جمع آوری کنیم
337,هنری,کتاب های هنری عمدتا به شرح چگونگی خلق آثار دیداری، شنیداری، نمایشی و سایر قالب های هنری، توضیح جنبه های مختلف یک اثر هنری، زندگی هنرمندان بزرگ و تأثیرگذار تاریخ، نقد هنری، مطالعه ی تاریخ هنر، بررسی جنبه های زیبای شناسانه ی آثار هنری و دیگر حوزه های مربوط به هنر می پردازند.
539,کتاب مصور,
590,آموزشی,
681,معماری,
103,ادبیات داستانی,ادبیات داستانی، گونه ای پرطرفدار از ادبیات است که به مسائلی چون مشکلات اجتماعی، سیاسی و فرهنگی و وضعیت زندگی بشر می پردازد. نویسندگان ادبیات داستانی بر بررسی عمیق و باطنی کاراکترهای جذاب، چندوجهی و قابل باوری تمرکز دارند که داستان های درونی و ذهنیشان، پیشبرنده ی اتفاقات داستان اصلی است.
182,رمان,رمان یا داستان بلند، متنی روایتگر و داستانی است که در قالب نثر نوشته می شود. در قرن هجدهم کلمهٔ «رمان» بیشتر برای اشاره به قصّه های کوتاه در مورد عشق و توطئه به کار می رفت. در ۲۰۰ سال اخیر، رمان تبدیل به یکی از مهم ترین اشکال ادبی شده و سهم بسیار بزرگی از دنیای کتاب را به خود اختصاص داده است.
265,مجموعه داستان,مجموعه داستان هایی که در بیش از یک جلد ارایه شده اند. این داستان ها اغلب به موضوع یکسانی می پردازند و به دلیل طولانی بودن، دنیای بسیار گسترده و بزرگی دارند.
356,داستان کوتاه,داستان کوتاه، گونه ای از ادبیات است که نسبت به رمان یا داستان بلند حجم بسیار کمتری دارد و نویسنده در آن، برشی از زندگی یا حوادث را روایت می کند. این گونه از ادبیات مانند دریچه ای است که به روی زندگی شخصیت یا شخصیت هایی، برای مدت کوتاهی باز می شود و به خواننده فقط امکان می دهد که از این دریچه به اتفاقاتی که در حال وقوع است، بنگرد. شخصیت در داستان کوتاه فقط خود را نشان می دهد و کمتر گسترش و تحول می یابد.
97,ادبیات آمریکا,ادبیات آمریکا شامل مجموعه آثار ادبی است که در ایالات متحده و یا مستعمرات سابق آن نوشته و تولید شده باشند. آمریکا در ابتدای تاریخ خود، مجموعه ای از مستعمرات بریتانیا بود، بنابراین، سنت ادبی این کشور، بسیار نزدیک و همسو با ادبیات انگلیس شکل گرفت. با این حال، ویژگی های منحصر به فرد آمریکایی و تعدد آثار تولید شده در این کشور، مسیر و سنت متفاوتی نسبت به ادبیات انگلیس، برای ادبیات آمریکا به وجود آورد.
139,ادبیات واقع گرایانه,واقع گرایی یا رئالیسم در ادبیات، شرح موضوعات به شکلی است که در زندگی روزانه هستند، بدون هرگونه آرایش یا تعبیر افزون. به نظر هنرمندان رئالیست، رمان نویس بیش از هر چیز دیگر، هنرمندی است که هدفش، آفریدن اثری کامل است، اما این کمال به دست نخواهد آمد مگر این که نویسنده، عکس العمل های درونی و هیجان های شخصی را از اثر خود جدا کند. از این رو رمان نویس باید اثری غیرشخصی به وجود بیاورد.
172,دهه 1960 میلادی,احساس بیگانگی و فشار زندگی در سال های گذشته، در آثار ادبی دهه ی 1960 میلادی فرصت بیان شدن پیدا کردند و مسائلی چون حقوق شهروندی، فمینیسم، جنبش های ضد جنگ و فعالیت های گسترده تر اقلیت ها در آثار ادبی این دهه به وفور به چشم می خورند. رمان های برجسته و تأثیرگذاری چون «کشتن مرغ مقلد»، «تبصره ی 22» و «پرتغال کوکی» در این دهه به دنیای ادبیات معرفی شدند.
301,علمی,کتاب علمی، اثری غیرداستانی است که معمولا توسط یک دانشمند، محقق و یا استاد دانشگاه نوشته می شود. این گونه از کتاب ها اغلب برای طیف وسیعی از مخاطبین نوشته می شوند و فرض بر این است که مخاطب این کتاب ها، دانشی کلی و عمومی درباره ی موضوع مورد بحث دارد. موضوع اصلی این دسته از آثار، مسائل علمی، حواشی و تاریخ علم و موضوعات دیگر مربوط به علوم مختلف است.
1143,سریال,
830,شیمی,
1254,مهندسی,
538,ورزشی,
1072,آمادگی جسمانی,
1086,تربیت بدنی,
510,شعر ایرانی,
565,شعر معاصر,
22,ادبیات فرانسه,ادبیات فرانسه، به مجموعه آثاری اشاره می کند که، توسط نویسندگانی از این کشور یا خارج از این کشور، به زبان فرانسوی نوشته شده باشند. ادبیات فرانسه در سال 2006 دارای بیشترین نویسندگان برنده ی جایزه ی نوبل ادبیات در جهان شد. ادبیات فرانسه، یکی از تأثیرگذارترین اجزای ادبیات اروپاست و برای مردم این کشور، همیشه نمادی از افتخار به کشورشان بوده است. برخی نویسندگان بزرگ چون ساموئل بکت، ترجیح داده اند که کارهای خود را به زبان فرانسوی به رشته ی تحریر درآورند.
102,داستان عاشقانه,داستان رمانتیک و یا عاشقانه، گونه ای از داستان است که اولویت اصلی در آن، توجه به روابط عاشقانه بین دو نفر می باشد. ویژگی بارز رمان های عاشقانه بیان پر از احساس آن است. این گونه از ادبیات، مخاطبین بسیار زیادی در سراسر جهان دارد.
106,ادبیات سورئالیسم,فراواقع گرایی یا سوررئالیسم، یکی از جنبش های هنری قرن بیستم است. سوررئالیسم به معنی گرایش به ماورای واقعیت یا واقعیت برتر است. زمانی که دادائیسم در حال از بین رفتن بود، این شیوه در سال ۱۹۲۲ به طور رسمی از فرانسه آغاز و فراواقع گرایی نامیده شد. این مکتب، بازتاب نابسامانی ها و آشفتگی های قرن بیستم است. این جنبش در عمل با انتشار مجلهٔ انقلاب فراواقع گرا توسط برتون آغاز شد. سالوادور دالی، رنه ماگریت و لویی آراگون از جمله سوررئالیست های مشهور هستند. شعر در سوررئالیسم جایگاه ویژه ای دارد و پیروان این مکتب کوشیده اند که جهان بینی خود را از طریق شعر انتقال دهند.
127,داستان درام,داستان درام ژانری در ادبیات است که در آن کاراکترهای قصه در چارچوبی واقعی با مشکلات احساسی روبرو می شوند. در این گونه از ادبیات، داستان ها معمولا در بستری واقع گرایانه روایت می شوند و به مشکلات درونی و یا روابط انسان ها پرداخته می شود.
